Date,Confirmed,Deaths,Recovered,n_confirmed,n_death,n_recovered,Infection_case
2020-01-07,129,2,127,0,0,0,10
2020-01-08,136,2,134,7,0,7,8
2020-01-09,144,2,142,8,0,8,7
2020-01-10,149,3,146,5,1,4,8
2020-01-11,157,3,154,8,0,8,8
2020-01-12,167,3,164,10,0,10,7
2020-01-13,175,3,172,8,0,8,4
2020-01-14,182,3,179,7,0,7,9
2020-01-15,190,3,187,8,0,8,16
2020-01-16,198,3,195,8,0,8,5
2020-01-17,205,4,201,7,1,6,13
2020-01-18,209,4,205,4,0,4,6
2020-01-19,218,4,214,9,0,9,10
2020-01-20,234,4,230,16,0,16,6
2020-01-21,239,4,235,5,0,5,6
2020-01-22,252,4,248,13,0,13,14
2020-01-23,258,4,254,6,0,6,10
2020-01-24,268,5,263,10,1,9,13
2020-01-25,274,5,269,6,0,6,14
2020-01-26,280,5,275,6,0,6,17
2020-01-27,294,5,289,14,0,14,11
2020-01-28,304,5,299,10,0,10,14
2020-01-29,317,5,312,13,0,13,6
2020-01-30,331,6,325,14,1,13,5
2020-01-31,348,6,342,17,0,17,7
2020-02-01,359,6,353,11,0,11,2
2020-02-02,373,6,367,14,0,14,5
2020-02-03,379,7,372,6,1,5,3
2020-02-04,384,7,377,5,0,5,7
2020-02-05,391,8,383,7,1,6,16
2020-02-06,393,8,385,2,0,2,14
2020-02-07,398,8,390,5,0,5,8
2020-02-08,401,8,393,3,0,3,4
2020-02-09,408,8,400,7,0,7,9
2020-02-10,424,8,416,16,0,16,18
2020-02-11,438,8,430,14,0,14,15
2020-02-12,446,8,438,8,0,8,13
2020-02-13,450,8,442,4,0,4,17
2020-02-14,459,9,450,9,1,8,14
2020-02-15,477,9,468,18,0,18,33
2020-02-16,492,9,483,15,0,15,19
2020-02-17,505,9,496,13,0,13,29
2020-02-18,522,10,512,17,1,16,44
2020-02-19,536,11,525,14,1,13,70
2020-02-20,569,14,555,33,3,30,110
2020-02-21,588,14,574,19,0,19,162
2020-02-22,617,14,603,29,0,29,161
2020-02-23,661,15,646,44,1,43,222
2020-02-24,731,15,716,70,0,70,191
2020-02-25,841,17,824,110,2,108,236
2020-02-26,1003,25,978,162,8,154,299
2020-02-27,1164,27,1137,161,2,159,312
2020-02-28,1386,31,1355,222,4,218,417
2020-02-29,1577,33,1544,191,2,189,456
2020-03-01,1813,37,1776,236,4,232,679
2020-03-02,2112,47,2065,299,10,289,820
2020-03-03,2424,58,2366,312,11,301,1114
2020-03-04,2841,68,2773,417,10,407,1780
2020-03-05,3297,77,3220,456,9,447,2270
2020-03-06,3976,96,3880,679,19,660,2840
2020-03-07,4796,118,4678,820,22,798,3160
2020-03-08,5910,140,5770,1114,22,1092,3925
2020-03-09,7690,166,7524,1780,26,1754,3909
2020-03-10,9960,201,9759,2270,35,2235,4057
2020-03-11,12800,249,12551,2840,48,2792,5496
2020-03-12,15960,309,15651,3160,60,3100,4945
2020-03-13,19885,388,19497,3925,79,3846,5150
2020-03-14,23794,449,23345,3909,61,3848,4596
2020-03-15,27851,546,27305,4057,97,3960,5206
2020-03-16,33347,683,32664,5496,137,5359,4238
2020-03-17,38292,811,37481,4945,128,4817,3420
2020-03-18,43442,956,42486,5150,145,5005,4960
