Date,Confirmed,Deaths,Recovered,n_confirmed,n_death,n_recovered,Infection_case
2020-04-30,165600,8565,157035,0,0,0,896
2020-05-01,166468,8602,157866,868,37,831,915
2020-05-02,167160,8626,158534,692,24,668,846
2020-05-03,167753,8650,159103,593,24,569,805
2020-05-04,168585,8693,159892,832,43,789,607
2020-05-05,169481,8731,160750,896,38,858,447
2020-05-06,170396,8757,161639,915,26,889,682
2020-05-07,171242,8793,162449,846,36,810,639
2020-05-08,172047,8827,163220,805,34,771,708
2020-05-09,172654,8834,163820,607,7,600,631
2020-05-10,173101,8859,164242,447,25,422,739
2020-05-11,173783,8881,164902,682,22,660,509
2020-05-12,174422,8898,165524,639,17,622,394
2020-05-13,175130,8924,166206,708,26,682,623
2020-05-14,175761,8940,166821,631,16,615,531
2020-05-15,176500,8970,167530,739,30,709,707
2020-05-16,177009,8993,168016,509,23,486,407
2020-05-17,177403,9006,168397,394,13,381,436
2020-05-18,178026,9018,169008,623,12,611,354
2020-05-19,178557,9030,169527,531,12,519,293
2020-05-20,179264,9060,170204,707,30,677,455
2020-05-21,179671,9066,170605,407,6,401,562
2020-05-22,180107,9078,171029,436,12,424,532
2020-05-23,180461,9088,171373,354,10,344,436
2020-05-24,180754,9094,171660,293,6,287,381
2020-05-25,181209,9103,172106,455,9,446,349
2020-05-26,181771,9117,172654,562,14,548,216
2020-05-27,182303,9130,173173,532,13,519,239
2020-05-28,182739,9139,173600,436,9,427,343
2020-05-29,183120,9143,173977,381,4,377,464
2020-05-30,183469,9147,174322,349,4,345,440
2020-05-31,183685,9154,174531,216,7,209,377
2020-06-01,183924,9160,174764,239,6,233,277
2020-06-02,184267,9166,175101,343,6,337,186
2020-06-03,184731,9171,175560,464,5,459,380
2020-06-04,185171,9175,175996,440,4,436,409
2020-06-05,185548,9181,176367,377,6,371,492
2020-06-06,185825,9187,176638,277,6,271,307
2020-06-07,186011,9192,176819,186,5,181,371
2020-06-08,186391,9195,177196,380,3,377,341
2020-06-09,186800,9200,177600,409,5,404,257
2020-06-10,187292,9208,178084,492,8,484,410
2020-06-11,187599,9211,178388,307,3,304,850
2020-06-12,187970,9226,178744,371,15,356,690
2020-06-13,188311,9229,179082,341,3,338,639
2020-06-14,188568,9232,179336,257,3,254,809
2020-06-15,188978,9236,179742,410,4,406,500
2020-06-16,189828,9242,180586,850,6,844,318
2020-06-17,190518,9248,181270,690,6,684,493
2020-06-18,191157,9249,181908,639,1,638,500
2020-06-19,191966,9254,182712,809,5,804,485
2020-06-20,192466,9261,183205,500,7,493,488
2020-06-21,192784,9265,183519,318,4,314,495
2020-06-22,193277,9268,184009,493,3,490,328
2020-06-23,193777,9272,184505,500,4,496,269
2020-06-24,194262,9275,184987,485,3,482,457
2020-06-25,194750,9281,185469,488,6,482,448
2020-06-26,195245,9288,185957,495,7,488,438
2020-06-27,195573,9289,186284,328,1,327,403
2020-06-28,195842,9289,186553,269,0,269,415
2020-06-29,196299,9293,187006,457,4,453,292
2020-06-30,196747,9295,187452,448,2,446,245
2020-07-01,197185,9301,187884,438,6,432,380
2020-07-02,197588,9306,188282,403,5,398,390
2020-07-03,198003,9311,188692,415,5,410,393
2020-07-04,198295,9312,188983,292,1,291,375
2020-07-05,198540,9315,189225,245,3,242,457
2020-07-06,198920,9318,189602,380,3,377,351
2020-07-07,199310,9324,189986,390,6,384,240
2020-07-08,199703,9327,190376,393,3,390,478
2020-07-09,200078,9331,190747,375,4,371,474
2020-07-10,200535,9335,191200,457,4,453,582
2020-07-11,200886,9337,191549,351,2,349,497
2020-07-12,201126,9337,191789,240,0,240,529
2020-07-13,201604,9340,192264,478,3,475,505
2020-07-14,202078,9345,192733,474,5,469,392
2020-07-15,202660,9350,193310,582,5,577,612
2020-07-16,203157,9357,193800,497,7,490,605
2020-07-17,203686,9362,194324,529,5,524,687
2020-07-18,204191,9364,194827,505,2,503,626
2020-07-19,204583,9372,195211,392,8,384,741
2020-07-20,205195,9379,195816,612,7,605,591
2020-07-21,205800,9383,196417,605,4,601,466
2020-07-22,206487,9389,197098,687,6,681,694
2020-07-23,207113,9393,197720,626,4,622,733
2020-07-24,207854,9396,198458,741,3,738,776
2020-07-25,208445,9399,199046,591,3,588,754
2020-07-26,208911,9403,199508,466,4,462,844
2020-07-27,209605,9410,200195,694,7,687,698
2020-07-28,210338,9412,200926,733,2,731,563
2020-07-29,211114,9418,201696,776,6,770,919
2020-07-30,211868,9423,202445,754,5,749,940
2020-07-31,212712,9438,203274,844,15,829,996
2020-08-01,213410,9439,203971,698,1,697,1066
2020-08-02,213973,9441,204532,563,2,561,1047
2020-08-03,214892,9446,205446,919,5,914,835
2020-08-04,215832,9450,206382,940,4,936,621
2020-08-05,216828,9451,207377,996,1,995,1266
2020-08-06,217894,9456,208438,1066,5,1061,1232
2020-08-07,218941,9461,209480,1047,5,1042,1455
2020-08-08,219776,9465,210311,835,4,831,1415
2020-08-09,220397,9468,210929,621,3,618,1335
2020-08-10,221663,9476,212187,1266,8,1258,958
2020-08-11,222895,9480,213415,1232,4,1228,806
2020-08-12,224350,9488,214862,1455,8,1447,1558
2020-08-13,225765,9494,216271,1415,6,1409,1519
2020-08-14,227100,9501,217599,1335,7,1328,1556
2020-08-15,228058,9505,218553,958,4,954,1385
2020-08-16,228864,9506,219358,806,1,805,1507
2020-08-17,230422,9512,220910,1558,6,1552,1059
2020-08-18,231941,9517,222424,1519,5,1514,843
2020-08-19,233497,9522,223975,1556,5,1551,1503
2020-08-20,234882,9526,225356,1385,4,1381,1540
2020-08-21,236389,9527,226862,1507,1,1506,1476
2020-08-22,237448,9528,227920,1059,1,1058,1417
2020-08-23,238291,9530,228761,843,2,841,1308
2020-08-24,239794,9533,230261,1503,3,1500,904
2020-08-25,241334,9537,231797,1540,4,1536,778
2020-08-26,242810,9538,233272,1476,1,1475,1286
2020-08-27,244227,9542,234685,1417,4,1413,1456
2020-08-28,245535,9549,235986,1308,7,1301,1357
2020-08-29,246439,9553,236886,904,4,900,1382
2020-08-30,247217,9554,237663,778,1,777,1511
2020-08-31,248503,9559,238944,1286,5,1281,1171
2020-09-01,249959,9565,240394,1456,6,1450,992
2020-09-02,251316,9573,241743,1357,8,1349,1687
2020-09-03,252698,9578,243120,1382,5,1377,1659
2020-09-04,254209,9589,244620,1511,11,1500,1721
2020-09-05,255380,9594,245786,1171,5,1166,1676
2020-09-06,256372,9599,246773,992,5,987,1681
2020-09-07,258059,9609,248450,1687,10,1677,1446
2020-09-08,259718,9623,250095,1659,14,1645,1207
2020-09-09,261439,9631,251808,1721,8,1713,1977
2020-09-10,263115,9640,253475,1676,9,1667,1976
2020-09-11,264796,9654,255142,1681,14,1667,2065
2020-09-12,266242,9665,256577,1446,11,1435,1968
2020-09-13,267449,9670,257779,1207,5,1202,1934
2020-09-14,269426,9681,259745,1977,11,1966,1471
2020-09-15,271402,9693,261709,1976,12,1964,1230
2020-09-16,273467,9707,263760,2065,14,2051,2080
2020-09-17,275435,9720,265715,1968,13,1955,2038
2020-09-18,277369,9734,267635,1934,14,1920,2118
2020-09-19,278840,9751,269089,1471,17,1454,2135
2020-09-20,280070,9769,270301,1230,18,1212,2250
2020-09-21,282150,9781,272369,2080,12,2068,1876
2020-09-22,284188,9803,274385,2038,22,2016,1479
2020-09-23,286306,9814,276492,2118,11,2107,2461
2020-09-24,288441,9833,278608,2135,19,2116,2556
2020-09-25,290691,9856,280835,2250,23,2227,2724
2020-09-26,292567,9875,282692,1876,19,1857,2959
2020-09-27,294046,9888,284158,1479,13,1466,3343
